Date,Open,High,Low,Close,Volume,Adj Close
2009-04-13,68.64,69.06,67.76,68.02,27909800,66.38
2009-04-09,69.95,70.41,69.25,69.84,26866100,68.16
2009-04-08,68.57,69.59,67.89,68.96,26022200,67.30
2009-04-07,69.03,69.25,68.03,68.71,28035500,67.06
2009-04-06,69.66,70.43,69.01,70.05,27193000,68.37
2009-04-03,69.76,70.79,69.40,70.44,26709000,68.75
2009-04-02,70.73,71.15,69.70,70.25,38162200,68.56
2009-04-01,67.04,69.48,66.50,69.23,39375500,67.56
2009-03-31,69.04,69.34,67.74,68.10,41115600,66.46
2009-03-30,68.54,68.85,67.58,68.63,32211000,66.98
2009-03-27,70.05,70.60,69.29,69.98,29513200,68.30
2009-03-26,70.68,71.49,69.82,71.23,37731700,69.52
2009-03-25,69.70,71.17,68.76,70.16,36739800,68.47
2009-03-24,69.60,70.69,69.15,69.38,32115200,67.71
2009-03-23,66.99,70.82,66.86,70.53,51747600,68.83
2009-03-20,68.64,69.44,65.67,66.09,67260000,64.50
2009-03-19,70.40,70.43,67.94,68.33,38598400,66.69
2009-03-18,68.51,70.00,66.86,69.17,41888000,67.51
2009-03-17,66.81,69.24,66.36,69.09,30824900,67.43
2009-03-16,67.04,68.23,66.57,66.97,33593400,65.36
2009-03-13,67.39,67.63,66.37,67.20,35225200,65.58
2009-03-12,66.01,67.49,65.72,67.15,40430500,65.53
2009-03-11,67.38,67.96,65.35,65.77,37467100,64.19
2009-03-10,65.59,67.48,65.34,67.39,51651700,65.77
2009-03-09,62.88,65.98,62.87,64.57,42726000,63.02
2009-03-06,62.98,64.59,61.86,64.03,47090200,62.49
2009-03-05,64.18,64.58,62.13,62.22,50244900,60.72
2009-03-04,65.56,66.54,64.79,65.68,51515300,64.10
2009-03-03,65.84,66.12,64.08,64.36,48931900,62.81
2009-03-02,67.00,67.43,64.84,64.91,54827200,63.35
2009-02-27,69.79,70.23,67.90,67.90,64947400,66.27
2009-02-26,71.77,73.48,70.87,70.95,37212400,69.24
2009-02-25,71.40,73.49,70.50,72.05,55505600,70.32
2009-02-24,69.72,72.29,69.65,72.09,48886900,70.36
2009-02-23,72.25,72.80,69.06,69.30,40717900,67.63
2009-02-20,70.94,72.22,70.21,71.23,42809100,69.52
2009-02-19,71.87,72.96,71.77,72.16,31232400,70.42
2009-02-18,71.51,72.58,71.27,71.94,34329200,70.21
2009-02-17,72.72,72.91,71.16,71.28,41844300,69.57
2009-02-13,74.99,75.58,74.44,74.59,30384300,72.80
2009-02-12,73.57,75.25,72.70,75.22,42857500,73.41
2009-02-11,76.61,76.77,73.61,74.58,47897600,72.79
2009-02-10,79.28,79.60,75.69,76.14,43836100,74.31
2009-02-09,80.39,80.50,78.70,79.48,27763200,77.57
2009-02-06,78.81,80.49,78.70,80.34,36404400,78.41
2009-02-05,77.57,79.92,76.43,79.78,39597400,77.47
2009-02-04,78.55,78.89,77.05,77.66,29602000,75.41
2009-02-03,76.85,78.64,76.67,78.12,39567300,75.86
2009-02-02,76.06,77.12,75.66,76.69,36113100,74.47
2009-01-30,78.25,78.89,76.00,76.48,51904600,74.27
2009-01-29,77.58,78.00,76.64,77.00,38945300,74.77
2009-01-28,79.37,79.60,77.14,79.25,45324700,76.96
2009-01-27,78.27,79.43,77.62,78.92,38508900,76.64
2009-01-26,78.68,80.17,77.87,78.60,42758400,76.32
2009-01-23,76.40,78.80,75.78,78.04,46022800,75.78
2009-01-22,77.69,78.92,76.59,78.23,40204700,75.97
2009-01-21,76.25,79.38,76.00,79.26,43317700,76.97
2009-01-20,77.08,78.63,76.00,76.29,42838600,74.08
2009-01-16,77.62,78.45,76.52,78.10,45528100,75.84
2009-01-15,74.70,76.70,74.01,76.66,55562200,74.44
2009-01-14,77.04,77.31,74.32,75.10,48040500,72.93
2009-01-13,76.46,78.34,76.46,77.92,47116500,75.66
2009-01-12,76.54,77.52,76.01,76.54,38112100,74.32
2009-01-09,78.88,79.25,77.38,77.57,32862000,75.32
2009-01-08,77.91,79.57,77.90,79.09,30772000,76.80
2009-01-07,79.25,80.19,77.56,78.25,35268800,75.99
2009-01-06,82.14,82.73,79.63,80.30,41906100,77.98
2009-01-05,81.27,82.42,80.68,81.63,43340100,79.27
2009-01-02,80.06,82.11,78.90,81.64,35803700,79.28
2008-12-31,78.42,80.59,78.29,79.83,30026400,77.52
2008-12-30,78.02,79.20,77.58,78.59,25122300,76.32
2008-12-29,78.28,78.55,77.09,78.02,22839900,75.76
2008-12-26,76.04,77.40,76.04,77.19,17024000,74.96
2008-12-24,74.62,76.10,74.45,75.78,11295800,73.59
2008-12-23,75.50,76.36,74.52,75.10,32697800,72.93
2008-12-22,75.21,75.87,73.27,74.91,41021900,72.74
2008-12-19,76.80,78.33,75.02,75.02,68480300,72.85
2008-12-18,80.56,80.98,76.20,77.00,59693900,74.77
2008-12-17,82.57,83.24,81.06,81.06,51197300,78.71
2008-12-16,80.41,83.64,80.07,83.14,58471100,80.73
2008-12-15,81.32,81.50,78.86,79.95,43410800,77.64
2008-12-12,78.04,81.00,77.84,80.45,44313900,78.12
2008-12-11,80.33,81.92,79.41,80.02,50060100,77.70
2008-12-10,79.22,81.71,78.87,80.07,44060200,77.75
2008-12-09,79.02,79.63,77.51,78.20,47045500,75.94
2008-12-08,78.59,80.06,78.19,79.60,51585500,77.30
2008-12-05,75.67,77.98,72.68,76.60,65004800,74.38
2008-12-04,77.54,79.00,75.02,76.27,65355700,74.06
2008-12-03,76.16,79.44,75.73,78.93,57458800,76.65
2008-12-02,75.59,78.00,74.93,77.61,54657000,75.36
2008-12-01,77.89,77.98,74.31,74.31,55589900,72.16
2008-11-28,79.86,80.44,79.20,80.15,19591000,77.83
2008-11-26,77.38,81.03,76.58,80.89,46703000,78.55
2008-11-25,78.39,79.56,76.92,78.11,56603500,75.85
2008-11-24,76.82,80.23,75.31,78.80,74991100,76.52
2008-11-21,69.78,76.20,69.15,75.81,84550600,73.62
2008-11-20,71.84,75.42,68.30,68.51,76887100,66.53
2008-11-19,76.20,77.13,73.05,73.42,57444800,71.29
2008-11-18,73.50,76.99,73.03,76.33,57787000,74.12
2008-11-17,73.50,76.46,73.00,73.38,48660000,71.26
2008-11-14,73.80,77.75,71.90,73.68,53998400,71.55
2008-11-13,69.54,76.50,67.54,75.41,72704700,73.23
2008-11-12,71.35,72.22,68.70,68.93,50521000,66.93
2008-11-11,72.65,74.16,71.59,72.65,42007600,70.55
2008-11-10,75.10,75.84,72.80,74.02,37409700,71.88
2008-11-07,70.48,75.59,70.48,73.95,44691300,71.81
2008-11-06,73.12,73.88,69.40,69.96,52864400,67.55
2008-11-05,76.25,77.34,72.84,73.69,45390700,71.15
2008-11-04,75.13,77.96,75.07,77.49,48208700,74.82
2008-11-03,73.45,75.18,72.50,74.29,35456000,71.73
2008-10-31,74.37,77.36,73.25,74.12,52835800,71.56
2008-10-30,75.00,75.75,71.44,75.05,56158400,72.46
2008-10-29,74.87,77.99,73.06,74.65,62703600,72.07
2008-10-28,68.87,75.45,67.06,74.86,69047100,72.28
2008-10-27,67.58,70.98,65.00,66.09,48774800,63.81
2008-10-24,64.01,70.98,64.00,69.04,54629400,66.66
2008-10-23,65.88,70.39,64.39,70.39,64686000,67.96
2008-10-22,68.74,69.36,63.90,64.57,52089300,62.34
2008-10-21,72.45,74.33,69.21,71.50,43789700,69.03
2008-10-20,70.37,75.00,69.74,74.99,44874600,72.40
2008-10-17,67.05,72.44,65.60,68.04,58398500,65.69
2008-10-16,63.31,69.68,59.17,69.45,78110100,67.05
2008-10-15,70.76,70.76,61.33,62.35,61247200,60.20
2008-10-14,75.05,75.66,68.71,72.46,64126300,69.96
2008-10-13,64.90,73.74,63.88,73.08,64864300,70.56
2008-10-10,63.86,66.06,56.51,62.36,112867200,60.21
2008-10-09,77.60,78.45,67.47,68.00,68771800,65.65
2008-10-08,74.85,79.39,74.00,77.00,74941800,74.34
2008-10-07,78.00,79.88,74.96,76.07,62791100,73.45
2008-10-06,75.65,77.50,73.73,77.32,65937700,74.65
2008-10-03,77.85,81.75,77.55,77.94,44177200,75.25
2008-10-02,77.77,79.41,76.44,77.50,44100200,74.83
2008-10-01,77.19,79.23,74.93,78.58,34337100,75.87
2008-09-30,75.62,78.61,75.17,77.66,42032700,74.98
2008-09-29,78.92,80.00,74.06,74.06,58785700,71.51
2008-09-26,79.03,81.03,78.61,80.65,28933600,77.87
2008-09-25,78.54,81.30,78.50,80.67,36144700,77.89
2008-09-24,77.95,79.50,77.02,78.03,27539300,75.34
2008-09-23,78.57,80.50,77.58,77.69,27868200,75.01
2008-09-22,80.20,81.80,78.53,78.88,31995600,76.16
2008-09-19,80.49,82.00,78.22,79.61,58834600,76.86
2008-09-18,76.29,77.75,74.55,77.75,48231100,75.07
2008-09-17,75.60,79.12,74.82,75.28,43487000,72.68
2008-09-16,71.99,76.75,71.51,76.43,42584700,73.79
2008-09-15,74.94,77.90,73.25,73.25,40186900,70.72
2008-09-12,75.52,77.70,75.51,77.50,28646300,74.83
2008-09-11,74.56,75.75,73.62,75.56,35639900,72.95
2008-09-10,73.88,75.80,73.54,75.25,31399200,72.65
2008-09-09,76.07,76.99,73.26,73.26,38473100,70.73
2008-09-08,76.76,77.55,76.00,76.77,31222900,74.12
2008-09-05,76.00,76.39,74.69,75.62,27869100,73.01
2008-09-04,77.68,78.34,75.70,76.14,32200600,73.51
2008-09-03,77.01,78.60,77.01,78.02,27014700,75.33
2008-09-02,78.04,78.89,77.28,77.32,31688100,74.65
2008-08-29,81.50,81.50,80.01,80.01,22060400,77.25
2008-08-28,81.06,81.19,79.89,81.18,20287500,78.38
2008-08-27,80.67,81.28,80.00,80.47,20392000,77.69
2008-08-26,78.82,80.00,78.82,79.95,18751700,77.19
2008-08-25,80.27,80.56,78.64,78.71,20634900,75.99
2008-08-22,80.00,80.70,79.15,80.30,19662300,77.53
2008-08-21,79.28,80.95,79.00,80.35,24638500,77.58
2008-08-20,78.54,79.66,77.38,78.81,25970200,76.09
2008-08-19,76.38,78.27,76.37,77.95,22132200,75.26
2008-08-18,77.46,78.05,76.30,76.53,22944600,73.89
2008-08-15,77.09,77.28,76.19,77.07,26280600,74.41
2008-08-14,77.60,78.15,76.91,77.45,25848500,74.78
2008-08-13,76.81,78.63,76.80,78.17,30654900,75.47
2008-08-12,78.57,78.65,76.51,76.88,25995900,74.23
2008-08-11,78.52,78.95,77.04,78.16,24566800,75.46
2008-08-08,76.90,78.85,76.31,78.72,29318400,75.62
2008-08-07,78.68,79.11,77.31,77.44,25346700,74.39
2008-08-06,78.50,78.65,77.24,78.33,30790600,75.24
2008-08-05,76.50,78.35,76.21,78.35,40087100,75.26
2008-08-04,79.63,80.13,76.14,76.60,37887200,73.58
2008-08-01,80.55,81.10,79.45,79.72,28766900,76.58
2008-07-31,81.82,82.55,80.19,80.43,40872900,77.26
2008-07-30,80.90,84.76,80.53,84.38,36410700,81.06
2008-07-29,80.83,81.20,79.75,80.90,25869900,77.71
2008-07-28,81.87,82.23,80.65,80.68,24017500,77.50
2008-07-25,81.01,82.41,80.76,81.70,27553800,78.48
2008-07-24,81.20,81.95,79.73,80.80,36789400,77.62
2008-07-23,82.98,83.00,80.60,80.99,31083500,77.80
2008-07-22,82.56,83.23,81.57,82.86,27909100,79.60
2008-07-21,81.84,82.98,81.11,82.98,24802500,79.71
2008-07-18,80.63,81.54,79.93,81.54,36138800,78.33
2008-07-17,81.30,81.79,79.10,80.33,39193400,77.16
2008-07-16,81.89,81.99,79.41,80.81,40408300,77.63
2008-07-15,85.65,85.67,81.87,82.19,34406000,78.95
2008-07-14,86.00,86.47,84.48,85.42,21552600,82.05
2008-07-11,86.28,86.64,84.31,85.48,29428400,82.11
